datetime,GF,day,hour
2016-01-11 17:00:00,7880.999999996275,11,17
2016-01-11 18:00:00,8092.000000005588,11,18
2016-01-11 19:00:00,8064.0,11,19
2016-01-11 20:00:00,8234.0,11,20
2016-01-11 21:00:00,7932.0,11,21
2016-01-11 22:00:00,3774.0,11,22
2016-01-11 23:00:00,2917.0,11,23
2016-01-12 00:00:00,3136.9999999962747,12,0
2016-01-12 01:00:00,2934.0000000037253,12,1
2016-01-12 02:00:00,2932.9999999962747,12,2
2016-01-12 03:00:00,2935.0000000037253,12,3
2016-01-12 04:00:00,3053.0,12,4
2016-01-12 05:00:00,2957.0000000037253,12,5
2016-01-12 06:00:00,2871.0000000018626,12,6
2016-01-12 07:00:00,3063.999999994412,12,7
2016-01-12 08:00:00,3104.0,12,8
2016-01-12 09:00:00,3710.9999999962747,12,9
2016-01-12 10:00:00,7100.000000003725,12,10
2016-01-12 11:00:00,7093.000000001863,12,11
2016-01-12 12:00:00,7685.0,12,12
2016-01-12 13:00:00,7936.0,12,13
2016-01-12 14:00:00,8092.999999996275,12,14
2016-01-12 15:00:00,7497.0,12,15
2016-01-12 16:00:00,7818.999999998137,12,16
2016-01-12 17:00:00,7117.000000001863,12,17
2016-01-12 18:00:00,7761.0,12,18
2016-01-12 19:00:00,7477.000000001863,12,19
2016-01-12 20:00:00,7424.000000005588,12,20
2016-01-12 21:00:00,7417.999999994412,12,21
2016-01-12 22:00:00,6481.0,12,22
2016-01-12 23:00:00,3295.0000000037253,12,23
2016-01-13 00:00:00,2950.9999999962747,13,0
2016-01-13 01:00:00,3024.9999999962747,13,1
2016-01-13 02:00:00,2905.0000000074506,13,2
2016-01-13 03:00:00,2968.9999999962747,13,3
2016-01-13 04:00:00,2862.9999999962747,13,4
2016-01-13 05:00:00,2998.0000000037253,13,5
2016-01-13 06:00:00,2874.0,13,6
2016-01-13 07:00:00,3007.0,13,7
2016-01-13 08:00:00,3011.0000000018626,13,8
2016-01-13 09:00:00,6062.0,13,9
2016-01-13 10:00:00,7145.999999998137,13,10
2016-01-13 11:00:00,7379.0,13,11
2016-01-13 12:00:00,8258.999999996275,13,12
2016-01-13 13:00:00,8584.0,13,13
2016-01-13 14:00:00,8695.000000003725,13,14
2016-01-13 15:00:00,9242.999999996275,13,15
2016-01-13 16:00:00,9715.000000003725,13,16
2016-01-13 17:00:00,7900.000000003725,13,17
2016-01-13 18:00:00,7390.999999996275,13,18
2016-01-13 19:00:00,7384.999999996275,13,19
2016-01-13 20:00:00,7427.999999996275,13,20
2016-01-13 21:00:00,6889.000000005588,13,21
2016-01-13 22:00:00,4846.000000001863,13,22
2016-01-13 23:00:00,3074.0,13,23
